"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Cd36",14070.4875192972,-1.05615577846366,0.305794390546812,-3.45381017805811,0.000552726274807117,0.00624982441104169,"Cd36"
"Abca1",5945.73841831361,1.94625506127271,0.311742216088663,6.24315527647104,4.28830802230869e-10,2.50203539826529e-08,"Abca1"
"Abcg1",2584.51368296646,-0.708864616806493,0.251164719645557,-2.82230966915593,0.0047679113837537,0.0357668681747721,"Abcg1"
"Abcg2",176.558946531561,-0.809936390524896,0.364155504494024,-2.22414979460564,0.0261383676110548,0.125833884864403,"Abcg2"
"Abcg3",111.23266131808,-1.6213243977124,0.46238193421062,-3.50646138560826,0.000454107319788278,0.00527798328929301,"Abcg3"
"Abca8a",6.0547219497882,-2.5801090491565,1.30980333918479,-1.96984461099506,0.0488561820439063,0.193341316488402,"Abca8a"
"Abca8b",35.2198167295082,0.788980887485876,0.512953723167039,1.53811319004493,0.124020941489272,0.351923699213862,"Abca8b"
"Abca9",103.736615992529,-2.52700754721063,0.553597593803827,-4.56470110328208,5.00206499884846e-06,0.000110221161241878,"Abca9"
"Pparg",387.580179658833,-1.58018523683294,0.280313906421371,-5.63719887110269,1.72838472648828e-08,7.17586112685276e-07,"Pparg"
